"Name","State","Runtime","Tags","model/subject_model/model_name","Created","model/pooler/layer_to_probe","mdl","compression","test/accuracy","test/f1score"
"glad-terrain-1083","finished","16044","layer:9, msm_bm25","bert-base-uncased","2022-04-29T16:37:54.000Z","9","30698.96484375","4.328391075134277","0.7113999724388123","0.3420986235141754"
"comfy-deluge-1081","finished","23514","layer:12, msm_bm25","bert-base-uncased","2022-04-29T04:58:55.000Z","12","32382.203125","4.103399753570557","0.6949999928474426","0.34011951088905334"
"cerulean-breeze-1079","finished","18805","layer:11, msm_bm25","bert-base-uncased","2022-04-28T23:45:14.000Z","11","31370.87109375","4.235684871673584","0.6991999745368958","0.34320423007011414"
"eager-pyramid-1076","finished","19307","layer:10, msm_bm25","bert-base-uncased","2022-04-28T18:23:03.000Z","10","31019.751953125","4.283629417419434","0.7056999802589417","0.3652741611003876"
"decent-water-1065","finished","14665","layer:8, msm_bm25","bert-base-uncased","2022-04-27T17:02:20.000Z","8","29882.458984375","4.446659564971924","0.7182999849319458","0.3664824962615967"
"easy-frost-1062","finished","11832","layer:7, msm_bm25","bert-base-uncased","2022-04-27T13:44:58.000Z","7","29422.3515625","4.5161967277526855","0.7226999998092651","0.3513070344924927"
"stellar-totem-1059","finished","12307","layer:6, msm_bm25","bert-base-uncased","2022-04-27T10:19:41.000Z","6","28865.90625","4.603254795074463","0.7294999957084656","0.3775815665721894"
"vital-sunset-1056","finished","10188","layer:5, msm_bm25","bert-base-uncased","2022-04-27T07:29:39.000Z","5","28690.474609375","4.631402015686035","0.7358999848365784","0.380089819431305"
"sleek-leaf-1053","finished","8428","layer:4, msm_bm25","bert-base-uncased","2022-04-27T05:08:54.000Z","4","28876.146484375","4.601622581481934","0.7448999881744385","0.3833509385585785"
"electric-gorge-1050","finished","8577","layer:3, msm_bm25","bert-base-uncased","2022-04-27T02:45:46.000Z","3","30576.17578125","4.345773220062256","0.7210000157356262","0.3654014468193054"
"eternal-pine-1047","finished","6139","layer:2, msm_bm25","bert-base-uncased","2022-04-27T01:03:17.000Z","2","32440.02734375","4.096085548400879","0.7003999948501587","0.35461169481277466"
"ethereal-microwave-1044","finished","4676","layer:1, msm_bm25","bert-base-uncased","2022-04-26T23:45:11.000Z","1","38080.6875","3.489357233047486","0.6319000124931335","0.2921775281429291"
"efficient-moon-1041","finished","4446","layer:0, msm_bm25","bert-base-uncased","2022-04-26T22:30:54.000Z","0","39052.44140625","3.4025306701660156","0.6152999997138977","0.27628636360168457"
