"Name","State","Runtime","Tags","model/subject_model/model_name","Created","model/pooler/layer_to_probe","mdl","compression","test/accuracy","test/f1score"
"light-transport-1086","finished","19021","layer:8, msm_bm25","bert-msm-doc","2022-05-04T13:37:13.000Z","8","29959.849609375","4.435173511505127","0.7148000001907349","0.3514529764652252"
"deep-sound-1084","finished","37214","layer:12, msm_bm25","bert-msm-doc","2022-04-29T16:39:43.000Z","12","37624.51953125","3.531662940979004","0.6176999807357788","0.2105592042207718"
"azure-plasma-1077","finished","30070","layer:11, msm_bm25","bert-msm-doc","2022-04-28T20:28:42.000Z","11","31616.619140625","4.202762126922607","0.6909000277519226","0.32687443494796753"
"likely-flower-1073","finished","24801","layer:10, msm_bm25","bert-msm-doc","2022-04-28T13:35:06.000Z","10","30905.84375","4.299417495727539","0.6984000205993652","0.35000330209732056"
"glorious-sun-1067","finished","18554","layer:9, msm_bm25","bert-msm-doc","2022-04-27T20:12:38.000Z","9","30394.11328125","4.371804714202881","0.7080000042915344","0.36642199754714966"
"worthy-sun-1063","finished","19757","layer:7, msm_bm25","bert-msm-doc","2022-04-27T14:43:12.000Z","8","29959.849609375","4.435173511505127","0.7148000001907349","0.3514529764652252"
"good-lake-1060","finished","12816","layer:6, msm_bm25","bert-msm-doc","2022-04-27T11:09:25.000Z","6","29186.79296875","4.552645683288574","0.7228999733924866","0.39021462202072144"
"lyric-vortex-1057","finished","11561","layer:5, msm_bm25","bert-msm-doc","2022-04-27T07:56:30.000Z","5","28656.404296875","4.636908531188965","0.7339000105857849","0.3747154772281647"
"feasible-firebrand-1054","finished","9977","layer:4, msm_bm25","bert-msm-doc","2022-04-27T05:10:02.000Z","4","28671.7265625","4.634430408477783","0.7351999878883362","0.3577359616756439"
"winter-lion-1051","finished","7696","layer:3, msm_bm25","bert-msm-doc","2022-04-27T03:01:34.000Z","3","31013.931640625","4.284433364868164","0.7174999713897705","0.3380710482597351"
"charmed-deluge-1049","finished","6484","layer:2, msm_bm25","bert-msm-doc","2022-04-27T01:13:19.000Z","2","33547.75390625","3.9608352184295654","0.6924999952316284","0.34749835729599"
"deep-dragon-1046","finished","4887","layer:1, msm_bm25","bert-msm-doc","2022-04-26T23:51:42.000Z","1","38021.234375","3.4948134422302246","0.6330000162124634","0.28889450430870056"
"dainty-night-1043","finished","4400","layer:0, msm_bm25","bert-msm-doc","2022-04-26T22:38:13.000Z","0","39028.12890625","3.4046502113342285","0.6133000254631042","0.27654778957366943"
