"Name","State","Runtime","Tags","model/subject_model/model_name","Created","model/pooler/layer_to_probe","mdl","compression","test/accuracy","test/f1score"
"azure-pine-957","finished","29642","layer:12, msm_coref","bert-base-uncased","2022-03-25T09:22:37.000Z","12","35375.8359375","4.5947184562683105","0.9291661381721495","0.9291172027587892"
"jumping-sponge-954","finished","24473","layer:11, msm_coref","bert-base-uncased","2022-03-25T02:34:31.000Z","11","33960.6640625","4.786184310913086","0.9340827465057372","0.9340496063232422"
"happy-elevator-951","finished","27234","layer:10, msm_coref","bert-base-uncased","2022-03-24T19:00:15.000Z","10","34275.203125","4.742262363433838","0.941618263721466","0.9415984749794006"
"stellar-valley-948","finished","23467","layer:9, msm_coref","bert-base-uncased","2022-03-24T12:28:44.000Z","9","34989.30078125","4.645477294921875","0.9483879208564758","0.948378562927246"
"earnest-thunder-945","finished","24116","layer:8, msm_coref","bert-base-uncased","2022-03-24T05:46:08.000Z","8","33904.87890625","4.7940592765808105","0.9427794814109802","0.9427537322044371"
"soft-armadillo-923","finished","25154","layer:7, msm_coref","bert-base-uncased","2022-03-23T22:46:16.000Z","7","33180.52734375","4.898716449737549","0.9455219507217408","0.9455021619796752"
"genial-river-918","finished","22896","layer:6, msm_coref","bert-base-uncased","2022-03-23T16:24:02.000Z","6","31776.0078125","5.115242958068848","0.952513873577118","0.9525038003921508"
"soft-meadow-914","finished","19127","layer:5, msm_coref","bert-base-uncased","2022-03-22T20:09:48.000Z","5","32447.740234375","5.009347438812256","0.9493761658668518","0.9493576288223268"
"major-firefly-911","finished","16617","layer:4, msm_coref","bert-base-uncased","2022-03-22T15:32:37.000Z","4","32500.599609375","5.001200199127197","0.94063001871109","0.940594494342804"
"unique-dawn-907","finished","20548","layer:3, msm_coref","bert-base-uncased","2022-03-22T09:49:52.000Z","3","35102.7109375","4.630468368530273","0.9340827465057372","0.9340168833732604"
"hopeful-hill-904","finished","13869","layer:2, msm_coref","bert-base-uncased","2022-03-22T05:58:17.000Z","2","36858.03125","4.409947872161865","0.9336133599281312","0.9335501194000244"
"azure-dawn-903","finished","16879","layer:1, msm_coref","bert-base-uncased","2022-03-22T01:16:45.000Z","1","44496.59765625","3.652908563613891","0.9504632353782654","0.9504625797271729"
"drawn-river-898","finished","19489","layer:0, msm_coref","bert-base-uncased","2022-03-21T19:51:44.000Z","0","48201.015625","3.3721694946289062","0.9362322688102722","0.9362294673919678"
