"Name","State","Runtime","Tags","model/subject_model/model_name","Created","model/pooler/layer_to_probe","mdl","compression","test/accuracy","test/f1score"
"stilted-grass-961","finished","41578","layer:12, msm_coref","bert-msm-passage","2022-03-25T15:31:56.000Z","12","39758.86328125","4.088195323944092","0.9270414113998412","0.927016258239746"
"wild-star-956","finished","35352","layer:11, msm_coref","bert-msm-passage","2022-03-25T05:42:17.000Z","11","29474.009765625","5.51475715637207","0.944261908531189","0.9442431926727296"
"stellar-monkey-953","finished","30260","layer:10, msm_coref","bert-msm-passage","2022-03-24T21:17:42.000Z","10","28643.28125","5.674698829650879","0.9515503644943236","0.951539158821106"
"laced-blaze-950","finished","27152","layer:9, msm_coref","bert-msm-passage","2022-03-24T13:44:54.000Z","9","27938.267578125","5.817898273468018","0.955379843711853","0.9553714990615844"
"gentle-dust-946","finished","27500","layer:8, msm_coref","bert-msm-passage","2022-03-24T06:06:21.000Z","8","27916.0625","5.822525978088379","0.9537739157676696","0.953761100769043"
"rose-moon-926","finished","23788","layer:7, msm_coref","bert-msm-passage","2022-03-23T23:29:25.000Z","7","27109.298828125","5.995802402496338","0.9572575688362122","0.957247257232666"
"light-capybara-919","finished","25170","layer:6, msm_coref","bert-msm-passage","2022-03-23T16:29:27.000Z","6","27044.931640625","6.010072708129883","0.9552810192108154","0.9552725553512572"
"robust-rain-915","finished","23780","layer:5, msm_coref","bert-msm-passage","2022-03-22T21:02:40.000Z","5","27223.462890625","5.970658302307129","0.9523903727531432","0.9523780345916748"
"legendary-sea-912","finished","17053","layer:4, msm_coref","bert-msm-passage","2022-03-22T16:18:12.000Z","4","28240.533203125","5.7556281089782715","0.9539715647697448","0.9539611339569092"
"efficient-sea-909","finished","15084","layer:3, msm_coref","bert-msm-passage","2022-03-22T12:06:35.000Z","3","31699.3828125","5.127607822418213","0.9445583820343018","0.944534182548523"
"vital-sun-906","finished","18425","layer:2, msm_coref","bert-msm-passage","2022-03-22T06:59:15.000Z","2","36006.26171875","4.514270305633545","0.9492031931877136","0.949188470840454"
"tough-deluge-902","finished","20579","layer:1, msm_coref","bert-msm-passage","2022-03-22T01:16:04.000Z","1","44212.8046875","3.676355838775635","0.94596666097641","0.9459657073020936"
"comic-valley-899","finished","19222","layer:0, msm_coref","bert-msm-passage","2022-03-21T19:55:27.000Z","0","50812.59765625","3.198852300643921","0.937541663646698","0.93753981590271"
