"Name","State","Runtime","Tags","model/subject_model/model_name","Created","model/pooler/layer_to_probe","mdl","compression","test/accuracy","test/f1score"
"dutiful-surf-855","finished","44921","fever_fact_check, layer:12","bert-base-uncased","2022-02-27T13:55:42.000Z","12","10465.1328125","3.478216648101806","0.846666693687439","0.8456076383590698"
"trim-violet-852","finished","42297","fever_fact_check, layer:11","bert-base-uncased","2022-02-27T02:10:35.000Z","11","9886.0732421875","3.6819472312927246","0.8502563834190369","0.8489623069763184"
"zany-moon-850","finished","35331","fever_fact_check, layer:10","bert-base-uncased","2022-02-26T16:21:33.000Z","10","10099.42578125","3.604165315628052","0.8521794676780701","0.8509409427642822"
"fast-valley-845","finished","35758","fever_fact_check, layer:9","bert-base-uncased","2022-02-26T06:25:25.000Z","9","9991.48828125","3.6431009769439697","0.8507692217826843","0.8490767478942871"
"proud-paper-843","finished","29939","fever_fact_check, layer:8","bert-base-uncased","2022-02-25T22:06:10.000Z","8","9683.619140625","3.758925199508667","0.8533333539962769","0.8520658016204834"
"serene-tree-840","finished","26525","fever_fact_check, layer:7","bert-base-uncased","2022-02-25T14:43:56.000Z","7","9614.552734375","3.7859275341033936","0.8602564334869385","0.8593032360076904"
"solar-tree-837","finished","21910","fever_fact_check, layer:6","bert-base-uncased","2022-02-25T08:38:36.000Z","6","9897.30859375","3.677767515182495","0.8494871854782104","0.8484798073768616"
"misunderstood-breeze-835","finished","22032","fever_fact_check, layer:5","bert-base-uncased","2022-02-25T02:31:14.000Z","5","10092.513671875","3.6066336631774902","0.849871814250946","0.8484594821929932"
"youthful-shadow-831","finished","17619","fever_fact_check, layer:4","bert-base-uncased","2022-02-24T21:37:26.000Z","4","10362.87890625","3.5125374794006348","0.8508974313735962","0.8495172262191772"
"apricot-donkey-828","finished","13129","fever_fact_check, layer:3","bert-base-uncased","2022-02-24T17:58:28.000Z","3","11253.0380859375","3.234682083129883","0.8101282119750977","0.8062107563018799"
"sweet-thunder-824","finished","9869","fever_fact_check, layer:2","bert-base-uncased","2022-02-24T15:13:50.000Z","2","12373.20703125","2.941840410232544","0.7794871926307678","0.7726359367370605"
"prime-dragon-821","finished","7848","fever_fact_check, layer:1","bert-base-uncased","2022-02-24T13:02:51.000Z","1","14428.9404296875","2.52270770072937","0.7200000286102295","0.7059671878814697"
"swept-voice-818","finished","7746","fever_fact_check, layer:0","bert-base-uncased","2022-02-24T10:53:35.000Z","0","15136.9453125","2.404712438583374","0.7105128169059753","0.6953158378601074"
