"Name","State","Runtime","Tags","model/subject_model/model_name","Created","model/pooler/layer_to_probe","mdl","compression","test/accuracy","test/f1score"
"classic-snowflake-856","finished","45940","fever_fact_check, layer:12","bert-msm-doc","2022-02-27T15:48:51.000Z","12","15663.8828125","2.323817253112793","0.755384624004364","0.7520391941070557"
"misunderstood-sunset-853","finished","48762","fever_fact_check, layer:11","bert-msm-doc","2022-02-27T02:15:59.000Z","11","11114.923828125","3.274876356124878","0.8302564024925232","0.8284151554107666"
"robust-fire-849","finished","36060","fever_fact_check, layer:10","bert-msm-doc","2022-02-26T16:14:49.000Z","10","10671.09375","3.4110841751098633","0.8384615182876587","0.8369540572166443"
"frosty-yogurt-847","finished","34443","fever_fact_check, layer:9","bert-msm-doc","2022-02-26T06:40:36.000Z","9","10363.8046875","3.512223720550537","0.832564115524292","0.8307478427886963"
"toasty-sound-844","finished","29995","fever_fact_check, layer:8","bert-msm-doc","2022-02-25T22:20:31.000Z","8","10182.4013671875","3.5747952461242676","0.8316666483879089","0.8298177719116211"
"breezy-eon-841","finished","26126","fever_fact_check, layer:7","bert-msm-doc","2022-02-25T15:04:55.000Z","7","10378.62890625","3.507206916809082","0.8408974409103394","0.8394720554351807"
"hearty-blaze-838","finished","22980","fever_fact_check, layer:6","bert-msm-doc","2022-02-25T08:41:45.000Z","6","10326.080078125","3.525054931640625","0.8474358916282654","0.8467756509780884"
"atomic-cosmos-834","finished","22224","fever_fact_check, layer:5","bert-msm-doc","2022-02-25T02:31:11.000Z","5","10366.8349609375","3.511197090148926","0.8353846073150635","0.8331933617591858"
"toasty-monkey-832","finished","16578","fever_fact_check, layer:4","bert-msm-doc","2022-02-24T21:54:44.000Z","4","10727.1796875","3.393249750137329","0.8303846120834351","0.828302264213562"
"electric-blaze-829","finished","12109","fever_fact_check, layer:3","bert-msm-doc","2022-02-24T18:32:46.000Z","3","12541.0498046875","2.90246844291687","0.8074358701705933","0.8035862445831299"
"cool-terrain-826","finished","9603","fever_fact_check, layer:2","bert-msm-doc","2022-02-24T15:52:34.000Z","2","13027.3798828125","2.7941153049468994","0.7683333158493042","0.7610806226730347"
"polished-thunder-823","finished","8820","fever_fact_check, layer:1","bert-msm-doc","2022-02-24T13:25:25.000Z","1","15136.2490234375","2.404823064804077","0.7262820601463318","0.7131484746932983"
"swift-firefly-820","finished","8848","fever_fact_check, layer:0","bert-msm-doc","2022-02-24T10:57:48.000Z","0","15170.1513671875","2.3994486331939697","0.6994871497154236","0.6786994934082031"
