"Name","State","Runtime","Tags","model/subject_model/model_name","Created","model/pooler/layer_to_probe","mdl","compression","test/accuracy","test/f1score"
"volcanic-sun-854","finished","46727","fever_fact_check, layer:12","bert-msm-passage","2022-02-27T11:55:20.000Z","12","18822.44140625","1.9338617324829104","0.7683333158493042","0.763482928276062"
"restful-shape-851","finished","40566","fever_fact_check, layer:11","bert-msm-passage","2022-02-27T00:39:04.000Z","11","10739.3720703125","3.389397382736206","0.8465384840965271","0.8458453416824341"
"ethereal-dawn-848","finished","33571","fever_fact_check, layer:10","bert-msm-passage","2022-02-26T15:19:19.000Z","10","11496.4990234375","3.1661813259124756","0.8430769443511963","0.8416749238967896"
"polar-snowball-846","finished","31928","fever_fact_check, layer:9","bert-msm-passage","2022-02-26T06:26:59.000Z","9","10618.048828125","3.4281251430511475","0.8480769395828247","0.846977949142456"
"prime-wind-842","finished","32213","fever_fact_check, layer:8","bert-msm-passage","2022-02-25T21:29:58.000Z","8","10062.8955078125","3.617249011993408","0.8512820601463318","0.8500884771347046"
"resilient-field-839","finished","28882","fever_fact_check, layer:7","bert-msm-passage","2022-02-25T13:28:25.000Z","7","10114.1552734375","3.598916530609131","0.8502563834190369","0.8489404916763306"
"kind-vortex-836","finished","23144","fever_fact_check, layer:6","bert-msm-passage","2022-02-25T07:02:29.000Z","6","10307.7216796875","3.5313332080841064","0.8553845882415771","0.8544531464576721"
"icy-fire-833","finished","19182","fever_fact_check, layer:5","bert-msm-passage","2022-02-25T01:42:37.000Z","5","10233.7421875","3.556861162185669","0.8407692313194275","0.8390763998031616"
"generous-flower-830","finished","16114","fever_fact_check, layer:4","bert-msm-passage","2022-02-24T21:13:53.000Z","4","10447.8740234375","3.483962297439575","0.84025639295578","0.8387657403945923"
"flowing-puddle-827","finished","12375","fever_fact_check, layer:3","bert-msm-passage","2022-02-24T17:47:29.000Z","3","11543.37890625","3.153322696685791","0.8067948818206787","0.8025702238082886"
"lively-deluge-825","finished","8961","fever_fact_check, layer:2","bert-msm-passage","2022-02-24T15:17:58.000Z","2","12851.2060546875","2.832418918609619","0.7729487419128418","0.7656229138374329"
"fine-plant-822","finished","7994","fever_fact_check, layer:1","bert-msm-passage","2022-02-24T13:04:34.000Z","1","14721.947265625","2.472498893737793","0.7078205347061157","0.6897388696670532"
"peach-river-819","finished","7608","fever_fact_check, layer:0","bert-msm-passage","2022-02-24T10:57:37.000Z","0","15291.646484375","2.380384683609009","0.7030768990516663","0.6821815967559814"
