"Name","State","Runtime","Tags","End Time","model/subject_model/model_name","Created","model/pooler/layer_to_probe","val/accuracy/max","val/loss/min","test/accuracy","test/loss","mdl","compression"
"vague-serenity-712","finished","27468","layer:12, msm_ner","2022-02-01T08:56:18.000Z","bert-base-uncased","2022-02-01T01:18:30.000Z","12","0.8094021081924438","0.5906901955604553","0.8100128173828125","0.5929999351501465","70342.484375","6.1934895515441895"
"misty-sunset-709","finished","26294","layer:11, msm_ner","2022-02-01T01:18:13.000Z","bert-base-uncased","2022-01-31T17:59:59.000Z","11","0.8109204173088074","0.5791647434234619","0.8136305212974548","0.5804060101509094","69011.921875","6.312901020050049"
"gallant-deluge-706","finished","25807","layer:10, msm_ner","2022-01-31T17:59:38.000Z","bert-base-uncased","2022-01-31T10:49:31.000Z","10","0.8133228421211243","0.5695391297340393","0.8172093033790588","0.5712699294090271","67943.546875","6.412168025970459"
"curious-wind-703","finished","26126","layer:9, msm_ner","2022-01-31T10:49:18.000Z","bert-base-uncased","2022-01-31T03:33:52.000Z","9","0.8168399333953857","0.5605164766311646","0.8185319304466248","0.5611538290977478","67045.2421875","6.498081207275391"
"generous-wood-700","finished","26822","layer:8, msm_ner","2022-01-31T03:33:37.000Z","bert-base-uncased","2022-01-30T20:06:35.000Z","8","0.8191654682159424","0.553770124912262","0.8204963803291321","0.5547701716423035","66149.6328125","6.5860595703125"
"flowing-dew-697","finished","25957","layer:7, msm_ner","2022-01-30T20:06:15.000Z","bert-base-uncased","2022-01-30T12:53:38.000Z","7","0.8214141726493835","0.547195553779602","0.8225580453872681","0.5482982397079468","65510.67578125","6.650296688079834"
"warm-paper-694","finished","25608","layer:6, msm_ner","2022-01-30T12:53:23.000Z","bert-base-uncased","2022-01-30T05:46:35.000Z","6","0.8232399821281433","0.5425710082054138","0.8241140842437744","0.5438364148139954","65241.88671875","6.677695274353027"
"jumping-night-691","finished","25928","layer:5, msm_ner","2022-01-30T05:46:20.000Z","bert-base-uncased","2022-01-29T22:34:12.000Z","5","0.8238934278488159","0.5384048819541931","0.8261173963546753","0.5384528040885925","64671.72265625","6.736567497253418"
"azure-violet-688","finished","26043","layer:4, msm_ner","2022-01-29T22:33:59.000Z","bert-base-uncased","2022-01-29T15:19:56.000Z","4","0.8284676671028137","0.5307931900024414","0.8283736109733582","0.5310445427894592","64153.96875","6.790935039520264"
"clear-valley-685","finished","25854","layer:3, msm_ner","2022-01-29T15:19:28.000Z","bert-base-uncased","2022-01-29T08:08:34.000Z","3","0.8263342976570129","0.5393500924110413","0.8249309659004211","0.5399765372276306","65301.59765625","6.671589374542236"
"peach-wood-682","finished","25023","layer:2, msm_ner","2022-01-29T08:08:13.000Z","bert-base-uncased","2022-01-29T01:11:10.000Z","2","0.8232207894325256","0.5431897640228271","0.8246002793312073","0.545687735080719","66101.8984375","6.590816020965576"
"vibrant-gorge-679","finished","25354","layer:1, msm_ner","2022-01-29T01:10:40.000Z","bert-base-uncased","2022-01-28T18:08:06.000Z","1","0.8188772201538086","0.5520675778388977","0.8223246335983276","0.5543878674507141","67482.5234375","6.455974102020264"
"youthful-glitter-675","finished","24897","layer:0, msm_ner","2022-01-28T18:07:50.000Z","bert-base-uncased","2022-01-28T11:12:53.000Z","0","0.7925275564193726","0.6445752382278442","0.7923522591590881","0.6466221809387207","77020.296875","5.656501770019531"
