"Name","State","Runtime","Tags","End Time","model/subject_model/model_name","Created","model/pooler/layer_to_probe","val/accuracy/max","val/loss/min","test/accuracy","test/loss","mdl","compression"
"luminous-wish-713","finished","30965","layer:12, msm_ner","2022-02-01T16:18:05.000Z","bert-msm-doc","2022-02-01T07:42:00.000Z","12","0.7488036155700684","0.8106696605682373","0.7472478151321411","0.8183407783508301","101564.140625","4.289559841156006"
"exalted-tree-710","finished","31735","layer:11, msm_ner","2022-02-01T07:41:39.000Z","bert-msm-doc","2022-01-31T22:52:44.000Z","11","0.792373776435852","0.6384012699127197","0.7937915921211243","0.6447084546089172","75693.0546875","5.755685806274414"
"lemon-blaze-707","finished","28555","layer:10, msm_ner","2022-01-31T22:52:30.000Z","bert-msm-doc","2022-01-31T14:56:35.000Z","10","0.7971209287643433","0.6196476817131042","0.8000739216804504","0.6231219172477722","73193.2578125","5.952261924743652"
"vibrant-music-704","finished","30444","layer:9, msm_ner","2022-01-31T14:56:12.000Z","bert-msm-doc","2022-01-31T06:28:48.000Z","9","0.8011378049850464","0.6032336950302124","0.8037499785423279","0.6072035431861877","71388.9921875","6.102697849273682"
"eternal-wind-701","finished","29707","layer:8, msm_ner","2022-01-31T06:28:35.000Z","bert-msm-doc","2022-01-30T22:13:28.000Z","8","0.8030981421470642","0.5950736403465271","0.8066480159759521","0.5991320013999939","70242.4375","6.202311038970947"
"apricot-lake-698","finished","28790","layer:7, msm_ner","2022-01-30T22:12:48.000Z","bert-msm-doc","2022-01-30T14:12:58.000Z","7","0.8083065748214722","0.5827701687812805","0.8099933862686157","0.5890607237815857","69603.8359375","6.259215831756592"
"crisp-eon-695","finished","26422","layer:6, msm_ner","2022-01-30T14:12:45.000Z","bert-msm-doc","2022-01-30T06:52:23.000Z","6","0.8113048076629639","0.5764210820198059","0.8106352090835571","0.5814934968948364","68904.7734375","6.322717666625977"
"morning-sky-692","finished","26871","layer:5, msm_ner","2022-01-30T06:52:06.000Z","bert-msm-doc","2022-01-29T23:24:15.000Z","5","0.814379870891571","0.5692793130874634","0.8139222860336304","0.5710688829421997","68180.8984375","6.389845848083496"
"worldly-blaze-689","finished","26942","layer:4, msm_ner","2022-01-29T23:24:02.000Z","bert-msm-doc","2022-01-29T15:55:00.000Z","4","0.8198189735412598","0.5573118925094604","0.8167619705200195","0.5611974596977234","67231.1796875","6.480110168457031"
"amber-sponge-686","finished","26534","layer:3, msm_ner","2022-01-29T15:54:46.000Z","bert-msm-doc","2022-01-29T08:32:32.000Z","3","0.8184351921081543","0.5600358247756958","0.8174816370010376","0.563160240650177","67817.3125","6.424103736877441"
"earnest-yogurt-683","finished","25811","layer:2, msm_ner","2022-01-29T08:32:12.000Z","bert-msm-doc","2022-01-29T01:22:01.000Z","2","0.8174934387207031","0.5601547360420227","0.817462146282196","0.5633434653282166","68154.1953125","6.392349720001221"
"fine-leaf-680","finished","26002","layer:1, msm_ner","2022-01-29T01:21:40.000Z","bert-msm-doc","2022-01-28T18:08:18.000Z","1","0.8120735883712769","0.5765275359153748","0.8139611482620239","0.5782915949821472","69790.4375","6.242480278015137"
"floral-star-676","finished","24723","layer:0, msm_ner","2022-01-28T18:08:07.000Z","bert-msm-doc","2022-01-28T11:16:04.000Z","0","0.7898176312446594","0.6522876620292664","0.7903294563293457","0.6542069911956787","78116.28125","5.577139854431152"
