"Name","State","Runtime","Tags","model/subject_model/model_name","model/pooler/layer_to_probe","val/accuracy/max","val/loss/min","test/accuracy","test/loss","mdl","compression","Created"
"lively-rain-751","finished","19999","layer:12, min_max_normalized, msm_sem_sim","bert-base-uncased","12","0.73580002784729","0.6191959381103516","0.7401000261306763","0.5962958335876465","27568.80859375","4.819835662841797","2022-02-07T15:42:08.000Z"
"vibrant-energy-748","finished","18103","layer:11, min_max_normalized, msm_sem_sim","bert-base-uncased","11","0.7490000128746033","0.5938927531242371","0.7585999965667725","0.5752635598182678","27289.423828125","4.869180202484131","2022-02-07T10:40:14.000Z"
"wild-wood-745","finished","18343","layer:10, min_max_normalized, msm_sem_sim","bert-base-uncased","10","0.7569000124931335","0.5741775035858154","0.7648000121116638","0.5543500781059265","26359.234375","5.041008472442627","2022-02-07T05:34:21.000Z"
"deep-plasma-742","finished","19367","layer:9, min_max_normalized, msm_sem_sim","bert-base-uncased","9","0.7598000168800354","0.5619636178016663","0.7659000158309937","0.5498656034469604","25717.64453125","5.166769027709961","2022-02-07T00:11:23.000Z"
"ethereal-violet-739","finished","18192","layer:8, min_max_normalized, msm_sem_sim","bert-base-uncased","8","0.7702999711036682","0.5470072031021118","0.7741000056266785","0.530470073223114","26250.78125","5.061835289001465","2022-02-06T19:08:01.000Z"
"generous-spaceship-738","finished","17904","layer:7, min_max_normalized, msm_sem_sim","bert-base-uncased","7","0.7731000185012817","0.5392541289329529","0.7802000045776367","0.5252906680107117","26097.73828125","5.091518878936768","2022-02-06T14:09:23.000Z"
"smart-plant-735","finished","17893","layer:6, min_max_normalized, msm_sem_sim","bert-base-uncased","6","0.7731000185012817","0.5444629788398743","0.7732999920845032","0.5316274166107178","26375.69140625","5.037863254547119","2022-02-06T09:11:00.000Z"
"dauntless-spaceship-732","finished","17318","layer:5, min_max_normalized, msm_sem_sim","bert-base-uncased","5","0.7663999795913696","0.549676239490509","0.7710999846458435","0.5351430177688599","26068.4765625","5.097233772277832","2022-02-06T04:22:12.000Z"
"winter-glitter-729","finished","17608","layer:4, min_max_normalized, msm_sem_sim","bert-base-uncased","4","0.7631000280380249","0.5573140978813171","0.7631999850273132","0.5503020286560059","26108.39453125","5.089440822601318","2022-02-05T23:28:32.000Z"
"lively-universe-726","finished","17569","layer:3, min_max_normalized, msm_sem_sim","bert-base-uncased","3","0.7810999751091003","0.529227077960968","0.7833999991416931","0.5116347670555115","25747.685546875","5.160740375518799","2022-02-05T18:35:29.000Z"
"denim-oath-723","finished","17416","layer:2, min_max_normalized, msm_sem_sim","bert-base-uncased","2","0.7784000039100647","0.5291345715522766","0.7822999954223633","0.5161765813827515","26302.060546875","5.051966190338135","2022-02-05T13:44:49.000Z"
"youthful-sky-720","finished","19299","layer:1, min_max_normalized, msm_sem_sim","bert-base-uncased","1","0.7760000228881836","0.5285065770149231","0.7791000008583069","0.5132514834403992","25854.845703125","5.139350891113281","2022-02-05T08:22:58.000Z"
"helpful-firefly-715","finished","28995","layer:0, min_max_normalized, msm_sem_sim","bert-base-uncased","0","0.7682999968528748","0.5590969324111938","0.7746999859809875","0.5412560105323792","27421.806640625","4.845673561096191","2022-02-05T00:19:33.000Z"
