"Name","State","Runtime","Tags","End Time","model/subject_model/model_name","Created","model/pooler/layer_to_probe","val/accuracy/max","val/loss/min","test/accuracy","test/loss","mdl","compression"
"ruby-cherry-617","finished","31081","layer:12, msm_sem_sim","2022-01-24T01:10:10.000Z","bert-msm-passage","2022-01-23T16:32:09.000Z","12","0.8686000108718872","0.3302035331726074","0.8668000102043152","0.33022812008857727","17235.048828125","7.709703922271728"
"floral-pond-614","finished","24186","layer:11, msm_sem_sim","2022-01-23T16:31:52.000Z","bert-msm-passage","2022-01-23T09:48:46.000Z","11","0.9042999744415284","0.23137590289115903","0.8992999792098999","0.23351523280143735","11040.3212890625","12.035621643066406"
"balmy-feather-611","finished","23450","layer:10, msm_sem_sim","2022-01-23T09:48:36.000Z","bert-msm-passage","2022-01-23T03:17:46.000Z","10","0.9088000059127808","0.22058330476284027","0.9100000262260436","0.21478329598903656","10560.6318359375","12.582307815551758"
"confused-forest-608","finished","20045","layer:9, msm_sem_sim","2022-01-23T03:17:36.000Z","bert-msm-passage","2022-01-22T21:43:31.000Z","9","0.9120000004768372","0.213386207818985","0.9096999764442444","0.21117746829986572","10163.0517578125","13.074529647827148"
"deft-fog-605","finished","18895","layer:8, msm_sem_sim","2022-01-22T21:43:21.000Z","bert-msm-passage","2022-01-22T16:28:26.000Z","8","0.909500002861023","0.21219655871391296","0.911400020122528","0.2102572470903397","10249.3427734375","12.96445369720459"
"dainty-cherry-602","finished","20543","layer:7, msm_sem_sim","2022-01-22T16:28:16.000Z","bert-msm-passage","2022-01-22T10:45:53.000Z","7","0.9157000184059144","0.1985185146331787","0.9120000004768372","0.20142720639705655","10087.037109375","13.173057556152344"
"astral-brook-599","finished","19940","layer:6, msm_sem_sim","2022-01-22T10:45:42.000Z","bert-msm-passage","2022-01-22T05:13:22.000Z","6","0.920199990272522","0.18934297561645508","0.9200999736785888","0.19409827888011932","9765.0478515625","13.607421875"
"youthful-lake-596","finished","21138","layer:5, msm_sem_sim","2022-01-22T05:13:12.000Z","bert-msm-passage","2022-01-21T23:20:54.000Z","5","0.9221000075340272","0.18688257038593292","0.9217000007629396","0.1854977011680603","9533.2412109375","13.938294410705566"
"spring-shape-592","finished","21710","layer:4, msm_sem_sim","2022-01-21T23:20:44.000Z","bert-msm-passage","2022-01-21T17:18:54.000Z","4","0.9269999861717224","0.18206816911697388","0.9222000241279602","0.1820794641971588","9301.892578125","14.284955978393556"
"super-dream-589","finished","20304","layer:3, msm_sem_sim","2022-01-21T17:18:40.000Z","bert-msm-passage","2022-01-21T11:40:16.000Z","3","0.9204000234603882","0.18689946830272677","0.9226999878883362","0.18455347418785095","9359.529296875","14.196988105773926"
"zany-glitter-586","finished","17987","layer:2, msm_sem_sim","2022-01-21T11:40:06.000Z","bert-msm-passage","2022-01-21T06:40:19.000Z","2","0.925100028514862","0.1868657022714615","0.9230999946594238","0.18609385192394257","9232.267578125","14.392685890197754"
"firm-blaze-583","finished","18634","layer:1, msm_sem_sim","2022-01-21T06:40:09.000Z","bert-msm-passage","2022-01-21T01:29:35.000Z","1","0.9272000193595886","0.18195047974586487","0.9211000204086304","0.1833556592464447","9847.3046875","13.493756294250488"
"lucky-night-581","finished","18802","layer:0, msm_sem_sim","2022-01-21T01:29:18.000Z","bert-msm-passage","2022-01-20T20:15:56.000Z","0","0.9279999732971193","0.18674668669700625","0.9265000224113464","0.18576334416866305","9843.4482421875","13.499042510986328"
