"Name","State","Runtime","Tags","model/subject_model/model_name","Created","model/pooler/layer_to_probe","mdl","compression","test/accuracy","test/f1score"
"vibrant-breeze-815","finished","27660","layer:12, msm_ner","bert-base-uncased","2022-02-22T17:29:52.000Z","12","75545.375","5.766937255859375","0.7985568046569824","0.7173963785171509"
"divine-spaceship-812","finished","24195","layer:11, msm_ner","bert-base-uncased","2022-02-22T10:46:24.000Z","11","74143.5234375","5.875974178314209","0.8017855286598206","0.7198326587677002"
"neat-leaf-809","finished","22396","layer:10, msm_ner","bert-base-uncased","2022-02-22T04:32:53.000Z","10","73269.5859375","5.946061134338379","0.8047419190406799","0.7216079831123352"
"ruby-aardvark-806","finished","20821","layer:9, msm_ner","bert-base-uncased","2022-02-21T22:45:36.000Z","9","72081.671875","6.044053077697754","0.8070175647735596","0.72461998462677"
"wild-dream-803","finished","18721","layer:8, msm_ner","bert-base-uncased","2022-02-21T17:33:18.000Z","8","71397.453125","6.1019744873046875","0.8089820146560669","0.7294139862060547"
"sandy-hill-800","finished","16790","layer:7, msm_ner","bert-base-uncased","2022-02-21T12:53:15.000Z","7","70623.2421875","6.168867588043213","0.8115688562393188","0.7299352884292603"
"fresh-plasma-797","finished","15138","layer:6, msm_ner","bert-base-uncased","2022-02-21T08:40:42.000Z","6","70240.546875","6.202477931976318","0.812619149684906","0.7334375381469727"
"mild-frog-794","finished","13669","layer:5, msm_ner","bert-base-uncased","2022-02-21T04:52:40.000Z","5","69915.5234375","6.231311798095703","0.8134360313415527","0.7368201613426208"
"lilac-star-791","finished","12296","layer:4, msm_ner","bert-base-uncased","2022-02-21T01:27:29.000Z","4","69405.2421875","6.277125835418701","0.8167425394058228","0.7400650382041931"
"sandy-shadow-788","finished","11776","layer:3, msm_ner","bert-base-uncased","2022-02-20T22:10:59.000Z","3","70687.6328125","6.163248538970947","0.8153032064437866","0.735813558101654"
"pious-pine-786","finished","10949","layer:2, msm_ner","bert-base-uncased","2022-02-20T19:08:17.000Z","2","71379.1640625","6.1035380363464355","0.8134749531745911","0.7331002354621887"
"revived-terrain-783","finished","10696","layer:1, msm_ner","bert-base-uncased","2022-02-20T16:09:51.000Z","1","72732.8046875","5.989943981170654","0.8115688562393188","0.7351056933403015"
"fiery-wood-779","finished","11220","layer:0, msm_ner","bert-base-uncased","2022-02-20T13:02:38.000Z","0","83210.8671875","5.235679626464844","0.7794764041900635","0.6907296180725098"
