"Name","State","Runtime","Tags","model/subject_model/model_name","Created","model/pooler/layer_to_probe","mdl","compression","test/accuracy","test/f1score"
"gallant-galaxy-817","finished","35536","layer:12, msm_ner","bert-msm-doc","2022-02-22T22:22:11.000Z","12","106270.2265625","4.099600315093994","0.7363753318786621","0.5746188759803772"
"happy-planet-814","finished","30674","layer:11, msm_ner","bert-msm-doc","2022-02-22T13:50:43.000Z","11","80843.671875","5.388986110687256","0.7827051281929016","0.6843831539154053"
"warm-dew-810","finished","26014","layer:10, msm_ner","bert-msm-doc","2022-02-22T06:36:54.000Z","10","78164.46875","5.573701858520508","0.7883650660514832","0.6903824806213379"
"usual-blaze-807","finished","22946","layer:9, msm_ner","bert-msm-doc","2022-02-22T00:14:14.000Z","9","76439.109375","5.699509620666504","0.7923133969306946","0.7006351947784424"
"vocal-capybara-804","finished","20048","layer:8, msm_ner","bert-msm-doc","2022-02-21T18:39:52.000Z","8","75308.9921875","5.785038948059082","0.7951919436454773","0.7009429931640625"
"unique-cloud-801","finished","18159","layer:7, msm_ner","bert-msm-doc","2022-02-21T13:36:58.000Z","7","74618.390625","5.838580131530762","0.7978954911231995","0.7093831300735474"
"young-smoke-798","finished","15706","layer:6, msm_ner","bert-msm-doc","2022-02-21T09:14:58.000Z","6","73863.9453125","5.898215293884277","0.799704372882843","0.7141435146331787"
"trim-shadow-795","finished","14756","layer:5, msm_ner","bert-msm-doc","2022-02-21T05:08:43.000Z","5","73179.1015625","5.953413486480713","0.8018827438354492","0.7129123210906982"
"jumping-donkey-792","finished","12853","layer:4, msm_ner","bert-msm-doc","2022-02-21T01:34:14.000Z","4","72461.1328125","6.012401580810547","0.8059867024421692","0.7252699136734009"
"resilient-violet-789","finished","11985","layer:3, msm_ner","bert-msm-doc","2022-02-20T22:14:14.000Z","3","73158.90625","5.955056667327881","0.8052670359611511","0.7248192429542542"
"cerulean-pine-785","finished","11172","layer:2, msm_ner","bert-msm-doc","2022-02-20T19:07:48.000Z","2","73210.796875","5.950835704803467","0.8067452311515808","0.7268068790435791"
"fanciful-frost-782","finished","11176","layer:1, msm_ner","bert-msm-doc","2022-02-20T16:01:18.000Z","1","74999.71875","5.808894157409668","0.8048974871635437","0.7239462733268738"
"lyric-cloud-781","finished","10575","layer:0, msm_ner","bert-msm-doc","2022-02-20T13:04:51.000Z","0","84398.671875","5.161993980407715","0.7758781909942627","0.6874867677688599"
