"Name","State","Runtime","Tags","model/subject_model/model_name","Created","model/pooler/layer_to_probe","mdl","compression","test/accuracy","test/f1score"
"treasured-paper-1010","finished","18463","layer:12, msm_sem_sim","bert-base-uncased","2022-04-02T10:47:06.000Z","12","30563.80078125","4.347532749176025","0.7078999876976013","0.41447100043296814"
"northern-blaze-1006","finished","17721","layer:11, msm_sem_sim","bert-base-uncased","2022-04-02T05:51:34.000Z","11","29864.03125","4.449403285980225","0.720300018787384","0.4234352111816406"
"absurd-leaf-1003","finished","15600","layer:10, msm_sem_sim","bert-base-uncased","2022-04-02T01:31:24.000Z","10","29474.869140625","4.50814962387085","0.723800003528595","0.4194182157516479"
"eager-sun-1000","finished","15766","layer:9, msm_sem_sim","bert-base-uncased","2022-04-01T21:08:28.000Z","9","28881.029296875","4.600844383239746","0.7276999950408936","0.4358523190021515"
"treasured-galaxy-997","finished","15634","layer:8, msm_sem_sim","bert-base-uncased","2022-04-01T16:47:38.000Z","8","29140.51171875","4.559875965118408","0.739799976348877","0.4676458239555359"
"rich-plant-993","finished","12343","layer:7, msm_sem_sim","bert-base-uncased","2022-04-01T13:21:42.000Z","7","29155.333984375","4.557558059692383","0.7332000136375427","0.4755373895168304"
"royal-meadow-990","finished","9254","layer:6, msm_sem_sim","bert-base-uncased","2022-04-01T10:47:17.000Z","6","29460.021484375","4.5104217529296875","0.7343000173568726","0.45010846853256226"
"hardy-wave-987","finished","8504","layer:5, msm_sem_sim","bert-base-uncased","2022-04-01T08:25:23.000Z","5","29145.578125","4.559083461761475","0.7458000183105469","0.4755123257637024"
"different-monkey-984","finished","8287","layer:4, msm_sem_sim","bert-base-uncased","2022-04-01T06:06:51.000Z","4","28957.435546875","4.588705062866211","0.7365999817848206","0.4714863896369934"
"snowy-durian-982","finished","8592","layer:3, msm_sem_sim","bert-base-uncased","2022-04-01T03:43:15.000Z","3","28991.564453125","4.583302974700928","0.7466999888420105","0.4744543433189392"
"likely-sky-978","finished","7123","layer:2, msm_sem_sim","bert-base-uncased","2022-04-01T01:44:21.000Z","2","29614.6875","4.486865520477295","0.7416999936103821","0.47808563709259033"
"wild-brook-975","finished","8451","layer:1, msm_sem_sim","bert-base-uncased","2022-03-31T23:23:11.000Z","1","29143.546875","4.559401512145996","0.7418000102043152","0.49773108959198"
"gallant-forest-973","finished","5165","layer:0, msm_sem_sim","bert-base-uncased","2022-03-31T21:56:54.000Z","0","32123.9765625","4.1363844871521","0.7245000004768372","0.4766276776790619"
