"Name","State","Runtime","Tags","model/subject_model/model_name","Created","model/pooler/layer_to_probe","mdl","compression","test/accuracy","test/f1score"
"apricot-bird-1016","finished","33110","layer:12, msm_sem_sim","bert-msm-doc","2022-04-03T06:42:38.000Z","12","37094.38671875","3.5821356773376465","0.6477000117301941","0.2505001723766327"
"lemon-brook-1014","finished","26842","layer:11, msm_sem_sim","bert-msm-doc","2022-04-02T23:15:06.000Z","11","31083.126953125","4.274895668029785","0.7026000022888184","0.3495316505432129"
"drawn-snowball-1011","finished","34922","layer:10, msm_sem_sim","bert-msm-doc","2022-04-02T13:32:47.000Z","10","30020.513671875","4.426210880279541","0.711899995803833","0.3962492346763611"
"woven-frost-1008","finished","16131","layer:9, msm_sem_sim","bert-msm-doc","2022-04-02T09:03:45.000Z","9","29297.798828125","4.535396099090576","0.7156000137329102","0.4019659161567688"
"trim-forest-1005","finished","13778","layer:8, msm_sem_sim","bert-msm-doc","2022-04-02T05:13:58.000Z","8","29165.322265625","4.555997371673584","0.7261999845504761","0.385969340801239"
"major-field-1001","finished","22505","layer:7, msm_sem_sim","bert-msm-doc","2022-04-01T22:58:43.000Z","7","29213.162109375","4.54853630065918","0.7282000184059143","0.4350544214248657"
"denim-brook-996","finished","22492","layer:6, msm_sem_sim","bert-msm-doc","2022-04-01T16:43:37.000Z","6","28935.970703125","4.592108726501465","0.7386000156402588","0.4124392867088318"
"bright-sun-992","finished","17355","layer:5, msm_sem_sim","bert-msm-doc","2022-04-01T11:54:07.000Z","5","28140.978515625","4.721837520599365","0.7307000160217285","0.42962104082107544"
"serene-music-989","finished","7461","layer:4, msm_sem_sim","bert-msm-doc","2022-04-01T09:49:36.000Z","4","28683.595703125","4.632513046264648","0.7422999739646912","0.4734383225440979"
"feasible-grass-986","finished","10388","layer:3, msm_sem_sim","bert-msm-doc","2022-04-01T06:56:18.000Z","3","28503.755859375","4.661740779876709","0.7490000128746033","0.45411399006843567"
"soft-resonance-981","finished","13612","layer:2, msm_sem_sim","bert-msm-doc","2022-04-01T03:09:15.000Z","2","29560.447265625","4.49509859085083","0.7346000075340271","0.4493333399295807"
"autumn-plant-977","finished","12438","layer:1, msm_sem_sim","bert-msm-doc","2022-03-31T23:41:46.000Z","1","30305.412109375","4.384600639343262","0.7358999848365784","0.46934038400650024"
"generous-bush-971","finished","6647","layer:0, msm_sem_sim","bert-msm-doc","2022-03-31T21:50:42.000Z","0","32052.109375","4.145659446716309","0.7210000157356262","0.48510313034057617"
