"Name","State","Runtime","Tags","model/subject_model/model_name","Created","model/pooler/layer_to_probe","mdl","compression","test/accuracy","test/f1score"
"gallant-water-665","finished","17069","layer:12, msm_term_freq","bert-base-uncased","2022-01-27T01:00:54.000Z","12","28138.080078125","4.722323894500732","0.7195000052452087","0.2339196503162384"
"stoic-music-662","finished","17459","layer:11, msm_term_freq","bert-base-uncased","2022-01-26T20:09:45.000Z","11","27424.26953125","4.845238208770752","0.7257000207901001","0.24192926287651065"
"crimson-donkey-659","finished","17411","layer:10, msm_term_freq","bert-base-uncased","2022-01-26T15:19:25.000Z","10","26957.00390625","4.929224491119385","0.7301999926567078","0.2424805760383606"
"snowy-morning-657","finished","16985","layer:9, msm_term_freq","bert-base-uncased","2022-01-26T10:36:09.000Z","9","27126.041015625","4.898508071899414","0.7246999740600586","0.2312365621328354"
"peachy-snowflake-643","finished","17346","layer:8, msm_term_freq","bert-base-uncased","2022-01-25T09:25:21.000Z","8","26962.125","4.928288459777832","0.7294999957084656","0.24991685152053833"
"fine-feather-640","finished","16713","layer:7, msm_term_freq","bert-base-uncased","2022-01-25T04:46:38.000Z","7","26738.56640625","4.969493389129639","0.7210999727249146","0.2125584781169891"
"polar-salad-637","finished","16621","layer:6, msm_term_freq","bert-base-uncased","2022-01-25T00:09:27.000Z","6","26131.587890625","5.084923267364502","0.7233999967575073","0.24980495870113373"
"warm-jazz-633","finished","16474","layer:5, msm_term_freq","bert-base-uncased","2022-01-24T19:34:42.000Z","5","26164.060546875","5.078612327575684","0.7355999946594238","0.2553429901599884"
"blooming-meadow-629","finished","20624","layer:4, msm_term_freq","bert-base-uncased","2022-01-24T13:50:48.000Z","4","26795.990234375","4.95884370803833","0.7361000180244446","0.2545456290245056"
"vivid-planet-624","finished","16608","layer:3, msm_term_freq","bert-base-uncased","2022-01-24T09:13:40.000Z","3","27567.314453125","4.820096969604492","0.7332000136375427","0.25006747245788574"
"twilight-darkness-622","finished","17025","layer:2, msm_term_freq","bert-base-uncased","2022-01-24T04:29:44.000Z","2","28740.291015625","4.6233744621276855","0.7264999747276306","0.24088576436042783"
"graceful-smoke-620","finished","17309","layer:1, msm_term_freq","bert-base-uncased","2022-01-23T23:41:04.000Z","1","31695.537109375","4.192297458648682","0.6696000099182129","0.195945143699646"
"distinctive-fog-618","finished","15784","layer:0, msm_term_freq","bert-base-uncased","2022-01-23T19:17:50.000Z","0","32723.044921875","4.060658931732178","0.647599995136261","0.18630200624465945"
