"Name","State","Runtime","Tags","End Time","model/subject_model/model_name","Created","model/pooler/layer_to_probe","val/accuracy/max","val/loss/min","test/accuracy","test/loss","mdl","compression"
"crimson-terrain-673","finished","34964","layer:12, msm_term_freq","2022-01-28T09:58:18.000Z","bert-msm-doc","2022-01-28T00:15:34.000Z","12","0.6947000026702881","0.6846731305122375","0.696399986743927","0.6818400621414185","31271.091796875","4.249199867248535"
"driven-valley-672","finished","23133","layer:11, msm_term_freq","2022-01-28T00:15:24.000Z","bert-msm-doc","2022-01-27T17:49:51.000Z","11","0.7372999787330627","0.5924935936927795","0.7429999709129333","0.5812546610832214","25927.8125","5.124887466430664"
"legendary-paper-670","finished","19010","layer:10, msm_term_freq","2022-01-27T17:49:41.000Z","bert-msm-doc","2022-01-27T12:32:51.000Z","10","0.7445999979972839","0.578814685344696","0.7495999932289124","0.5712639093399048","25488.330078125","5.213253498077393"
"classic-snowball-668","finished","18885","layer:9, msm_term_freq","2022-01-27T12:32:42.000Z","bert-msm-doc","2022-01-27T07:17:57.000Z","9","0.7576000094413757","0.558917760848999","0.7595000267028809","0.5528107285499573","25215.111328125","5.269741535186768"
"balmy-bird-666","finished","18660","layer:8, msm_term_freq","2022-01-27T07:17:47.000Z","bert-msm-doc","2022-01-27T02:06:47.000Z","8","0.7615000009536743","0.5513049364089966","0.7630000114440918","0.5409997701644897","24874.72265625","5.341853618621826"
"blooming-firebrand-663","finished","18765","layer:7, msm_term_freq","2022-01-27T02:06:37.000Z","bert-msm-doc","2022-01-26T20:53:52.000Z","7","0.7627000212669373","0.5422426462173462","0.7698000073432922","0.5313359498977661","24639.4296875","5.392865180969238"
"dry-water-660","finished","17959","layer:6, msm_term_freq","2022-01-26T20:53:42.000Z","bert-msm-doc","2022-01-26T15:54:23.000Z","6","0.7682999968528748","0.5398865938186646","0.7681999802589417","0.5289273858070374","24163.626953125","5.4990553855896"
"major-mountain-656","finished","19124","layer:5, msm_term_freq","2022-01-26T15:54:13.000Z","bert-msm-doc","2022-01-26T10:35:29.000Z","5","0.7706999778747559","0.531875491142273","0.7750999927520752","0.5217055678367615","23569.818359375","5.637596607208252"
"vital-wildflower-639","finished","19787","layer:4, msm_term_freq","2022-01-25T10:02:08.000Z","bert-msm-doc","2022-01-25T04:32:21.000Z","4","0.77920001745224","0.5183775424957275","0.7851999998092651","0.5054657459259033","23722.181640625","5.601387023925781"
"efficient-firebrand-636","finished","18068","layer:3, msm_term_freq","2022-01-25T04:32:11.000Z","bert-msm-doc","2022-01-24T23:31:03.000Z","3","0.7494999766349792","0.5679041147232056","0.7526999711990356","0.5644910931587219","26186.94140625","5.074174880981445"
"fragrant-wave-632","finished","16454","layer:2, msm_term_freq","2022-01-24T23:30:53.000Z","bert-msm-doc","2022-01-24T18:56:39.000Z","2","0.7229999899864197","0.6245436072349548","0.7188000082969666","0.6318168044090271","28427.439453125","4.674255847930908"
"eager-voice-630","finished","17672","layer:1, msm_term_freq","2022-01-24T18:56:28.000Z","bert-msm-doc","2022-01-24T14:01:56.000Z","1","0.6758999824523926","0.7220730781555176","0.6747000217437744","0.7246905565261841","31746.748046875","4.185534954071045"
"cosmic-spaceship-625","finished","16710","layer:0, msm_term_freq","2022-01-24T14:01:46.000Z","bert-msm-doc","2022-01-24T09:23:16.000Z","0","0.6538000106811523","0.7577775120735168","0.651199996471405","0.7660391330718994","32643.94140625","4.070498943328857"
