"Name","State","Runtime","Tags","model/subject_model/model_name","Created","model/pooler/layer_to_probe","mdl","compression","test/accuracy","test/f1score"
"splendid-wildflower-671","finished","31759","layer:12, msm_term_freq","bert-msm-passage","2022-01-27T17:48:02.000Z","12","30290.69921875","4.386730194091797","0.7075999975204468","0.1808266043663025"
"good-jazz-669","finished","26553","layer:11, msm_term_freq","bert-msm-passage","2022-01-27T10:25:17.000Z","11","22505.71875","5.904149532318115","0.7868000268936157","0.259581059217453"
"electric-star-667","finished","22850","layer:10, msm_term_freq","bert-msm-passage","2022-01-27T04:04:17.000Z","10","21920.087890625","6.061888217926025","0.7971000075340271","0.27882397174835205"
"sandy-jazz-664","finished","21528","layer:9, msm_term_freq","bert-msm-passage","2022-01-26T22:05:15.000Z","9","21543.10546875","6.167965412139893","0.8027999997138977","0.27611058950424194"
"cool-firebrand-661","finished","20787","layer:8, msm_term_freq","bert-msm-passage","2022-01-26T16:18:39.000Z","8","21230.15625","6.258885860443115","0.8076000213623047","0.2676536440849304"
"snowy-mountain-655","finished","20587","layer:7, msm_term_freq","bert-msm-passage","2022-01-26T10:35:21.000Z","7","21144.29296875","6.284302234649658","0.8094000220298767","0.27393805980682373"
"dulcet-plant-641","finished","20100","layer:6, msm_term_freq","bert-msm-passage","2022-01-25T06:41:58.000Z","6","21024.265625","6.320178985595703","0.8105999827384949","0.2636632025241852"
"fancy-monkey-638","finished","19779","layer:5, msm_term_freq","bert-msm-passage","2022-01-25T01:12:09.000Z","5","20733.748046875","6.408736228942871","0.8123999834060669","0.2813650369644165"
"ethereal-feather-634","finished","20037","layer:4, msm_term_freq","bert-msm-passage","2022-01-24T19:38:01.000Z","4","21532.3125","6.171056747436523","0.8046000003814697","0.276347279548645"
"celestial-oath-631","finished","16898","layer:3, msm_term_freq","bert-msm-passage","2022-01-24T14:56:10.000Z","3","24305.462890625","5.466965198516846","0.774399995803833","0.2380414605140686"
"dutiful-resonance-626","finished","16260","layer:2, msm_term_freq","bert-msm-passage","2022-01-24T10:25:00.000Z","2","27335.69921875","4.860937595367432","0.7436000108718872","0.24303412437438965"
"olive-sunset-623","finished","16886","layer:1, msm_term_freq","bert-msm-passage","2022-01-24T05:43:24.000Z","1","31415.294921875","4.2296953201293945","0.6743999719619751","0.20165324211120603"
"driven-planet-621","finished","16371","layer:0, msm_term_freq","bert-msm-passage","2022-01-24T01:10:23.000Z","0","32576.103515625","4.078975200653076","0.6523000001907349","0.1975409835577011"
