"Name","State","Runtime","Tags","model/subject_model/model_name","Created","model/pooler/layer_to_probe","mdl","compression","test/accuracy","test/f1score","test/mrr","test/trec_ndcg@10","test/trec_ndcg@20","test/trec_map","test/precision@10","test/precision@20"
"zesty-valley-1025","finished","47276","layer:0, trec_ranking","bert-base-uncased","2022-04-09T00:53:32.000Z","0","67034.5390625","1.49176824092865","0.6236538290977478","0.4511756598949432","0.24258410930633545","0.10428072512149812","0.10979991406202316","0.1004517376422882","0.12093022465705872","0.11627906560897829"
"bumbling-haze-1024","finished","60557","layer:1, trec_ranking","bert-base-uncased","2022-04-08T05:32:24.000Z","0","67034.5390625","1.49176824092865","0.6236538290977478","0.4511756598949432","0.24258410930633545","0.10428072512149812","0.10979991406202316","0.1004517376422882","0.12093022465705872","0.11627906560897829"
"dandy-sun-1023","finished","52646","layer:2, trec_ranking","bert-base-uncased","2022-04-07T14:54:49.000Z","2","43670.6328125","2.2898683547973633","0.8304663300514221","0.6183902621269226","0.8498439192771912","0.541691243648529","0.5272202491760254","0.3565550446510315","0.6348837614059448","0.5616279244422913"
"final-dukat-1021","finished","54203","layer:5, trec_ranking","bert-base-uncased","2022-04-06T22:48:08.000Z","5","37693.89453125","2.652949571609497","0.9215437769889832","0.7111266255378723","0.8766149282455444","0.6020320653915405","0.5716001391410828","0.3993040919303894","0.7139534950256348","0.6093023419380188"
"comic-feather-1019","finished","101131","layer:3, trec_ranking","bert-base-uncased","2022-04-04T14:54:49.000Z","3","38869.109375","2.572737216949463","0.8859460949897766","0.6768175363540649","0.857733428478241","0.5738651156425476","0.5561434626579285","0.38971182703971863","0.6790697574615479","0.5883720517158508"
"wandering-dragon-1017","finished","93988","layer:4, trec_ranking","bert-base-uncased","2022-04-03T12:48:06.000Z","4","38346.8671875","2.6077749729156494","0.914624035358429","0.7104541659355164","0.8614341616630554","0.6018593907356262","0.5783848166465759","0.39554497599601746","0.7069767713546753","0.6186046600341797"
"colorful-paper-1013","finished","64445","layer:6, trec_ranking","bert-base-uncased","2022-04-02T18:51:40.000Z","6","37136.625","2.6927595138549805","0.917279839515686","0.7100540399551392","0.8659560680389404","0.599797248840332","0.5863398909568787","0.419433057308197","0.7069767117500305","0.6372093558311462"
"playful-surf-999","finished","81256","layer:7, trec_ranking","bert-base-uncased","2022-04-01T20:17:03.000Z","7","37259.41015625","2.6838858127593994","0.901759147644043","0.6861255168914795","0.896124005317688","0.599879264831543","0.5752569437026978","0.39709609746932983","0.6930232644081116","0.604651153087616"
"brisk-snowflake-980","finished","65335","layer:8, trec_ranking","bert-base-uncased","2022-04-01T02:07:49.000Z","8","37151.7734375","2.6916615962982178","0.8979094624519348","0.6823266744613647","0.9062015414237976","0.5920109152793884","0.5706666111946106","0.3970211446285248","0.6930232644081116","0.6023256182670593"
"polar-mountain-969","finished","91758","layer:9, trec_ranking","bert-base-uncased","2022-03-31T00:38:16.000Z","9","37542.42578125","2.6636531352996826","0.8956434726715088","0.6815073490142822","0.934883713722229","0.6014710664749146","0.5760087966918945","0.4023226201534271","0.7046511173248291","0.6139535307884216"
"legendary-microwave-968","finished","65482","layer:10, trec_ranking","bert-base-uncased","2022-03-30T06:26:24.000Z","10","35935.12109375","2.782792806625366","0.914088010787964","0.7015784978866577","0.8972868919372559","0.5883028507232666","0.5794686675071716","0.4014924466609955","0.6976743936538696","0.6139535307884216"
"deep-cosmos-965","finished","72857","layer:11, trec_ranking","bert-base-uncased","2022-03-29T10:11:57.000Z","11","34707.3046875","2.881237745285034","0.9153550267219543","0.7072334885597229","0.8507752418518066","0.5641571879386902","0.5563445687294006","0.3866760432720184","0.6813953518867493","0.604651153087616"
"dauntless-river-963","finished","85411","layer:12, trec_ranking","bert-base-uncased","2022-03-28T10:27:55.000Z","12","39353.953125","2.5410408973693848","0.9013449549674988","0.6988346576690674","0.8426356911659241","0.5688358545303345","0.5631048679351807","0.3973003327846527","0.7046511769294739","0.630232572555542"
