"Name","State","Runtime","Tags","model/subject_model/model_name","Created","model/pooler/layer_to_probe","mdl","compression","test/accuracy","test/trecmap","test/mrr","test/trecndcgat10","test/trecndcgat20","test/precisionat10","test/precisionat20"
"wise-thunder-944","finished","124","layer:12, test_only, trec_ranking","bert-msm-passage","2022-03-24T00:08:31.000Z","12", "19227.03125","5.2010111808776855","0.9340919256210328","0.43725720047950745","0.9612403512001038","0.691091775894165","0.6648619174957275","0.7674418687820435","0.6744186282157898"
"vocal-planet-943","finished","121","layer:11, test_only, trec_ranking","bert-msm-passage","2022-03-24T00:06:20.000Z","11", "18469.330078125","5.414381504058838","0.9330198168754578","0.43203026056289673","0.9767441749572754","0.6977758407592773","0.6578052043914795","0.7744186520576477","0.6627907156944275"
"jumping-valley-942","finished","113","layer:10, test_only, trec_ranking","bert-msm-passage","2022-03-24T00:04:16.000Z","10", "18559.48828125","5.388079643249512","0.931752860546112","0.4227844178676605","0.9612403512001038","0.6725193858146667","0.640683650970459","0.7488372325897217","0.6476744413375854"
"comic-capybara-941","finished","109","layer:9, test_only, trec_ranking","bert-msm-passage","2022-03-24T00:02:17.000Z","9", "22337.125","4.476851940155029","0.9165245294570924","0.4150188267230987","0.9639534950256348","0.6852207779884338","0.6410890817642212","0.7441860437393188","0.640697717666626"
"devout-music-940","finished","98","layer:8, test_only, trec_ranking","bert-msm-passage","2022-03-24T00:00:30.000Z","8" ,"23183.705078125","4.3133745193481445","0.916232168674469","0.40272778272628784","0.9515504240989684","0.6506072878837585","0.6236274242401123","0.7162790894508362","0.630232572555542"
"young-frost-939","finished","93","layer:7, test_only, trec_ranking","bert-msm-passage","2022-03-23T23:58:48.000Z","7", "24305.109375","4.11436128616333","0.914770245552063","0.4047587513923645","0.9331395030021667","0.641135036945343","0.6185411214828491","0.7069767713546753","0.6290697455406189"
"worthy-snowflake-938","finished","90","layer:6, test_only, trec_ranking","bert-msm-passage","2022-03-23T23:57:08.000Z","6", "25056.998046875","3.990900993347168","0.923273742198944","0.412149041891098","0.9244186282157898","0.6475340127944946","0.6250491738319397","0.7279070019721985","0.6406976580619812"
"silver-salad-937","finished","84","layer:5, test_only, trec_ranking","bert-msm-passage","2022-03-23T23:55:34.000Z","5", "28472.064453125","3.5122146606445312","0.9275863766670228","0.39012137055397034","0.9437984824180604","0.6516854166984558","0.624884843826294","0.7325581312179565","0.6418604850769043"
"chocolate-jazz-936","finished","85","layer:4, test_only, trec_ranking","bert-msm-passage","2022-03-23T23:54:00.000Z","4", "31608.646484375","3.163691282272339","0.9323863387107848","0.4007108509540558","0.9377906918525696","0.6284909844398499","0.6015812754631042","0.7093023061752319","0.6197674870491028"
"smooth-grass-935","finished","84","layer:3, test_only, trec_ranking","bert-msm-passage","2022-03-23T23:52:27.000Z","3", "34281.8984375","2.9169912338256836","0.918741762638092","0.3832026720046997","0.8733850717544556","0.5957179665565491","0.5712487101554871","0.6930232644081116","0.6034883856773376"
"vibrant-snowball-934","finished","85","layer:2, test_only, trec_ranking","bert-msm-passage","2022-03-23T23:50:53.000Z","2", "39232.953125","2.548877716064453","0.874616265296936","0.36346235871315","0.827702522277832","0.5394684672355652","0.5287423729896545","0.6372093558311462","0.565116286277771"
"sage-firebrand-933","finished","88","layer:1, test_only, trec_ranking","bert-msm-passage","2022-03-23T23:49:14.000Z","1", "64657.20703125","1.5466179847717283","0.6620778441429138","0.14005951583385468","0.33038514852523804","0.18031898140907288","0.18226350843906405","0.21395350992679596","0.20000000298023224"
"leafy-microwave-932","finished","85","layer:0, test_only, trec_ranking","bert-msm-passage","2022-03-23T23:47:39.000Z","0", "67357.8125","1.484608769416809","0.7518395781517029","0.1038518026471138","0.2835451066493988","0.13154979050159454","0.1257612556219101","0.15813954174518585","0.13604651391506195"
